肖申克的救赎  score:9.6
 site: http://movie.douban.com/subject/1297359/

蓝白红三部曲之红  score:8.7
 site: http://movie.douban.com/subject/1292047/

赛德克·巴莱  score:8.7
 site: http://movie.douban.com/subject/3993559/

未麻的部屋  score:8.7
 site: http://movie.douban.com/subject/1395091/

精英部队2：大敌当前  score:8.7
 site: http://movie.douban.com/subject/4304402/

河童之夏  score:8.7
 site: http://movie.douban.com/subject/2982823/

魔术师  score:8.7
 site: http://movie.douban.com/subject/1921583/

无敌破坏王  score:8.7
 site: http://movie.douban.com/subject/6534248/

阿凡达  score:8.6
 site: http://movie.douban.com/subject/1652587/

蝴蝶效应  score:8.6
 site: http://movie.douban.com/subject/1292343/

岁月神偷  score:8.6
 site: http://movie.douban.com/subject/3792799/

重庆森林  score:8.6
 site: http://movie.douban.com/subject/1291999/

本杰明·巴顿奇事  score:8.6
 site: http://movie.douban.com/subject/1485260/

猜火车  score:8.6
 site: http://movie.douban.com/subject/1292528/

告白  score:8.6
 site: http://movie.douban.com/subject/4268598/

西西里的美丽传说  score:8.6
 site: http://movie.douban.com/subject/1292402/

甜蜜蜜  score:8.6
 site: http://movie.douban.com/subject/1305164/

电锯惊魂  score:8.6
 site: http://movie.douban.com/subject/1417598/

雨人  score:8.6
 site: http://movie.douban.com/subject/1291870/

撞车  score:8.6
 site: http://movie.douban.com/subject/1388216/

人工智能  score:8.6
 site: http://movie.douban.com/subject/1302827/

幸福终点站  score:8.6
 site: http://movie.douban.com/subject/1292274/

卡萨布兰卡  score:8.6
 site: http://movie.douban.com/subject/1296753/

可可西里  score:8.6
 site: http://movie.douban.com/subject/1308857/

末代皇帝  score:8.6
 site: http://movie.douban.com/subject/1293172/

猫鼠游戏  score:8.6
 site: http://movie.douban.com/subject/1305487/

蝴蝶  score:8.6
 site: http://movie.douban.com/subject/1292056/

牯岭街少年杀人事件  score:8.6
 site: http://movie.douban.com/subject/1292329/

末路狂花  score:8.6
 site: http://movie.douban.com/subject/1291992/

莫扎特传  score:8.6
